No,Station_Name,Address,Coordinate,Type,Longtitude,Latitude
46,สถานีเดินรถหล่มสัก,77  ม.4  แยกพ่อขุน ต.หนองไขว่  อ.หล่มสัก จ.เพชรบูรณ์  67110,"16.748479,101.20751199999999",สถานีเดินรถ,16.748479,101.207511
47,สถานีเดินรถลพบุรี,489/12 ถ.นารายณ์มหาราช อ.เมือง  จ.ลพบุรี 15000,"14.798615,100.633413",ที่ทำการ/จุดจำหน่ายตั๋ว,14.798615,100.633413
48,สถานีเดินรถหนองบัวลำภู,200/4 - 5  ม.2 ถ.อุดรชุมแพ  ต.หนองบัวลำภูศรีบุญเรือง อ.เมือง  จ.หนองบัวลำภู 41000,"17.188561009934311,
102.4378820252805",ที่ทำการ/จุดจำหน่ายตั๋ว,17.188561009934311,"
102.4378820252805"
49,สถานีเดินรถกาฬสินธุ์,25/6 - 7  ถ.ประดิษฐ์ อ.เมือง  จ.กาฬสินธุ์ 46000,"16.429801999999999,
103.50197199999999",ที่ทำการ/จุดจำหน่ายตั๋ว,16.429801999999999,"
103.50197199999999"
50,สถานีเดินรถธาตุพนม,218  ม.5  ถ.บายพาส ต.ธาตุพนม  อ.ธาตุพนม จ.นครพนม  48110,"16.945053000000001,104.720922",ที่ทำการ/จุดจำหน่ายตั๋ว,16.945053000000001,104.720922
51,จุดจอดเรณูนคร,200  ม.9  ถ.อำนวยสุข ต.โพนทอง  อ.เรณูนคร จ.นครพนม  48170,"17.052642,104.676922",จุดจอด/จุดจำหน่ายตั๋ว,17.052642,104.676922
52,สถานีเดินรถบุรีรัมย์,87 - 89  ถ.ธานี อ.เมือง  จ.บุรีรัมย์ 31000,"14.9954118,103.096032",ที่ทำการ/จุดจำหน่ายตั๋ว,14.9954118,103.096032
53,- สถานีขนส่งผู้โดยสารจังหวัดบุรีรัมย์,อาคารสถานีขนส่งผู้โดยสาร จ.บุรีรัมย์ ถ.ธานี ต.ในเมือง อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,"14.995615,103.096163",จุดจอด/จุดจำหน่ายตั๋ว,14.995615,103.096163
54,สถานีเดินรถนครพนม,513  ถ.อภิบาลบัญชา ต.ในเมือง  อ.เมือง จ.นครพนม  48000,"17.3978247,104.7767698",ที่ทำการ/จุดจำหน่ายตั๋ว,17.3978247,104.7767698
55,สถานีเดินรถนางรอง,787/20 - 21 ถ.โชคชัย-เดชอุดม ต.นางรอง  อ.นางรอง จ.บุรีรัมย์  31110,"14.63222778075907,
102.78057257069629",ที่ทำการ/จุดจำหน่ายตั๋ว,14.63222778075907,"
102.7805725706962"
56,- จุดจอดหนองกี่,5/11 ม7 ถ.โชคชัย-เดชอุดม ต.หนองกี่ อ.หนองกี่ จ.บุรีรัมย์,"14.682560,102.543947",จุดจอด/จุดจำหน่ายตั๋ว,14.682560,102.543947
57,สถานีเดินรถเมืองพล,66/8  ถ.รามราช ต.เมืองพล  อ.พล จ.ขอนแก่น  40120,"15.814219581436729,
102.6057240145492",ที่ทำการ/จุดจำหน่ายตั๋ว,15.814219581436729,"
102.6057240145492"
58,- จุดจอดบ้านไผ่,440/60  ต.ในเมือง  อ.บ้านใผ่ จ.ขอนแก่น  40120,"16.056765,102.726941",จุดจอด/จุดจำหน่ายตั๋ว,16.056765,102.726941
59,สถานีเดินรถมหาสารคาม,1112/150 ถ.ริมคลองสมถวิล ต.ตลาด  อ.เมือง จ.มหาสารคาม  44000,"16.180855000000001,
103.301439",ที่ทำการ/จุดจำหน่ายตั๋ว,16.180855000000001,"
103.301439"
60,สถานีเดินรถมุกดาหาร,33/74 - 75  ถ.ชยางกูร ต.มุกดาหาร  อ.เมือง จ.มุกดาหาร  49000,"16.546139,104.71336700000001",ที่ทำการ/จุดจำหน่ายตั๋ว,16.546139,104.713367
61,สถานีเดินรถยโสธร,"385, 387  ถ.รัตนเขต ต.ในเมือง  อ.เมือง จ.ยโสธร  35000","15.809363,104.156891",ที่ทำการ/จุดจำหน่ายตั๋ว,15.809363,104.156891
62,- จุดจอดสถานีขนส่งยโสธร,สถานีขนส่งจังหวัดยโสธร ถนนเลี่ยงเมือง อ.เมือง จ.ยโสธร 35000,"15.809363,104.156891",จุดจอด/จุดจำหน่ายตั๋ว,15.809363,104.156891
